Point Y,Point X,InstallDate
32.206627,-110.9804777,7/19/2016
32.20312515,-110.995704,7/19/2016
32.1996544,-110.9802144,7/19/2016
32.226196,-111.0054767,7/19/2016
32.17914283,-111.0030928,7/19/2016
32.17950991,-111.0034261,7/19/2016
32.17963595,-111.0030787,7/19/2016
32.18005999,-111.0034227,7/19/2016
32.18009287,-111.0030468,7/19/2016
32.19639346,-110.9983507,7/19/2016
32.19745749,-110.9981996,7/19/2016
32.19797063,-110.9979748,7/19/2016
32.19922977,-110.997005,7/19/2016
32.20020876,-110.9963705,7/19/2016
32.20218567,-110.9959799,7/19/2016
32.22162417,-110.9887442,7/19/2016
32.22257345,-110.9888543,7/19/2016
32.226399,-111.0053777,7/19/2016
32.22653834,-111.0056226,7/19/2016
32.22635964,-111.0057757,7/19/2016
32.22620195,-111.0055373,7/19/2016
32.22653096,-111.0056749,7/19/2016
32.20662452,-110.978645,7/19/2016
32.20662735,-110.9789195,7/19/2016
32.20655573,-110.9791573,7/19/2016
32.20690424,-110.9789321,7/19/2016
32.20691612,-110.9787326,7/19/2016
32.20694384,-110.9791513,7/19/2016
32.20656354,-110.9799638,7/19/2016
32.20690625,-110.9798823,7/19/2016
32.20687846,-110.9802208,7/19/2016
32.20690203,-110.9804134,7/19/2016
32.20660853,-110.9801652,7/19/2016
32.20699898,-110.9861298,7/19/2016
32.25034424,-110.9974026,7/19/2016
32.17845918,-111.0034515,7/20/2016
32.17901623,-111.0034304,7/20/2016
32.219931,-110.9911517,7/20/2016
32.18694556,-111.0015277,7/20/2016
32.18742053,-111.0010991,7/20/2016
32.18784225,-111.0006689,7/20/2016
32.18829866,-111.000194,7/20/2016
32.18870308,-110.9998144,7/20/2016
32.18922799,-110.9994748,7/20/2016
32.18976771,-110.9992477,7/20/2016
32.18998653,-110.9995749,7/20/2016
32.19025836,-110.9991283,7/20/2016
32.19049922,-110.9994735,7/20/2016
32.19076115,-110.999078,7/20/2016
32.1909786,-110.9994618,7/20/2016
32.19117932,-110.999073,7/20/2016
32.19141299,-110.9994407,7/20/2016
32.19164528,-110.9990563,7/20/2016
32.1925855,-110.9989023,7/20/2016
32.19305599,-110.9986637,7/20/2016
32.19351085,-110.9984319,7/20/2016
32.19505958,-110.9978887,7/20/2016
32.19658233,-110.997971,7/20/2016
32.1980619,-110.9974842,7/20/2016
32.219909,-110.9891997,7/20/2016
32.21979115,-110.9904986,7/20/2016
32.21967951,-110.9917478,7/20/2016
